root_id	input_group
720575940623543881	3
720575940623617973	3
720575940623673802	0
720575940623739076	2
720575940623902471	3
720575940623913364	0
720575940623945404	2
720575940624001321	1
720575940624039560	3
720575940624057853	3
720575940624106442	2
720575940624515571	0
720575940624661552	1
720575940624770791	2
720575940624789125	2
720575940624834697	3
720575940624863015	3
720575940624879911	0
720575940624941244	0
720575940625007949	2
720575940625014928	0
720575940625022270	1
720575940625040053	2
720575940625056509	3
720575940625368976	1
720575940625431866	0
720575940625431870	2
720575940625493400	2
720575940625564676	2
720575940625586122	0
720575940625784153	3
720575940625819138	0
720575940625924618	3
720575940626034819	2
720575940626043218	1
720575940626143806	2
720575940626768656	0
720575940626937617	3
720575940626986885	0
720575940627035388	3
720575940627042064	2
720575940627160322	3
720575940627244986	3
720575940627245585	2
720575940627480586	3
720575940627708688	0
720575940627772009	2
720575940627844734	0
720575940627949929	0
720575940628035543	3
720575940628077568	3
720575940628181520	1
720575940628259407	0
720575940628283560	2
720575940628316047	3
720575940628338028	1
720575940628467611	2
720575940628524292	3
720575940628739560	1
720575940628750248	1
720575940628882450	3
720575940628954112	3
720575940629009513	2
720575940629011655	0
720575940629097922	3
720575940629279544	2
720575940629346103	2
720575940629587671	2
720575940629733626	1
720575940629752219	2
720575940629926159	1
720575940629963855	3
720575940630003472	0
720575940630024566	2
720575940630066007	1
720575940630093051	1
720575940630097103	0
720575940630131663	3
720575940630155083	3
720575940630217086	2
720575940630493818	0
720575940630546540	2
720575940630547909	2
720575940630549370	0
720575940630770042	1
720575940630778428	1
720575940630895055	1
720575940630914858	0
720575940630928715	0
720575940630989354	0
720575940631054634	2
720575940631161570	0
720575940631193052	2
720575940631274770	3
720575940631301715	1
720575940631328104	2
720575940631462200	2
720575940631469964	1
720575940631633401	2
720575940631742156	3
720575940631801671	2
720575940631930828	3
720575940632128908	0
720575940632167085	1
720575940632698797	1
720575940632868563	0
720575940633165025	0
720575940633190847	3
720575940633356883	3
720575940633499548	0
720575940633552028	2
720575940633804212	0
720575940633884333	1
720575940634035863	0
720575940634325087	2
720575940634710629	2
720575940634939327	2
720575940635066975	2
720575940635082871	0
720575940635604581	0
720575940635838606	2
720575940635933119	3
720575940635983770	0
720575940636873791	2
720575940637009636	1
720575940637056887	0
720575940637185252	3
720575940637208718	0
720575940637231593	1
720575940637469254	3
720575940637526190	0
720575940637594334	3
720575940637628762	3
720575940637864355	1
720575940637943374	1
720575940638149744	2
720575940638624189	2
720575940638633535	3
720575940638719104	2
720575940638778165	0
720575940639017050	3
720575940639080765	2
720575940639121571	3
720575940639202467	0
720575940639337461	1
720575940639669592	2
720575940639680957	3
720575940640032896	2
720575940640398477	1
720575940640697808	3
720575940640804853	1
720575940640971995	1
720575940642046453	1
720575940642086389	2
720575940642492576	0
720575940644004768	2
720575940644238871	3
720575940644258327	3
720575940644961588	0
720575940646122804	0
720575940646661252	1
720575940648206468	3
720575940648650884	3
720575940649045369	3
720575940649133945	0
720575940652941217	0
720575940656090017	1
720575940659400577	0
