root_id	input_group
720575940623307447	0
720575940623444715	0
720575940623465909	1
720575940623528925	1
720575940623543881	0
720575940623617973	1
720575940623673802	1
720575940623739076	1
720575940623902471	1
720575940623913364	1
720575940623945404	0
720575940624001321	1
720575940624039560	0
720575940624057853	0
720575940624106442	1
720575940624515571	1
720575940624661552	0
720575940624770791	0
720575940624789125	0
720575940624834697	1
720575940624863015	0
720575940624879911	1
720575940624941244	1
720575940625007949	0
720575940625014928	0
720575940625022270	0
720575940625040053	1
720575940625056509	0
720575940625368976	1
720575940625431866	1
720575940625431870	0
720575940625493400	1
720575940625564676	0
720575940625586122	1
720575940625784153	1
720575940625819138	1
720575940625924618	1
720575940626034819	1
720575940626043218	0
720575940626143806	0
720575940626768656	0
720575940626937617	1
720575940626986885	0
720575940627035388	0
720575940627042064	0
720575940627160322	1
720575940627244986	1
720575940627245585	0
720575940627480586	1
720575940627708688	1
720575940627772009	1
720575940627844734	0
720575940627949929	1
720575940628035543	1
720575940628077568	0
720575940628181520	0
720575940628259407	1
720575940628283560	0
720575940628316047	0
720575940628338028	1
720575940628467611	1
720575940628524292	0
720575940628739560	1
720575940628750248	1
720575940628882450	1
720575940628954112	1
720575940629009513	0
720575940629011655	0
720575940629097922	0
720575940629279544	0
720575940629346103	1
720575940629587671	0
720575940629733626	1
720575940629752219	0
720575940629926159	0
720575940629963855	1
720575940630003472	0
720575940630024566	0
720575940630066007	0
720575940630093051	0
720575940630097103	1
720575940630131663	1
720575940630155083	0
720575940630217086	0
720575940630493818	1
720575940630546540	0
720575940630547909	1
720575940630549370	1
720575940630770042	1
720575940630778428	1
720575940630895055	1
720575940630914858	1
720575940630928715	1
720575940630989354	1
720575940631054634	1
720575940631161570	0
720575940631193052	0
720575940631274770	0
720575940631301715	1
720575940631328104	1
720575940631462200	1
720575940631469964	1
720575940631633401	1
720575940631742156	1
720575940631801671	0
720575940631930828	1
720575940632128908	0
720575940632167085	1
720575940632698797	1
720575940632868563	1
720575940633165025	0
720575940633190847	0
720575940633356883	1
720575940633499548	0
720575940633552028	0
720575940633804212	1
720575940633884333	0
720575940634035863	0
720575940634325087	0
720575940634710629	0
720575940634939327	0
720575940635066975	0
720575940635082871	1
720575940635604581	0
720575940635838606	1
720575940635933119	0
720575940635983770	0
720575940636873791	1
720575940637009636	0
720575940637056887	1
720575940637185252	0
720575940637208718	0
720575940637231593	0
720575940637469254	0
720575940637526190	1
720575940637594334	0
720575940637628762	0
720575940637864355	1
720575940637943374	0
720575940638149744	1
720575940638624189	1
720575940638633535	1
720575940638719104	1
720575940638778165	1
720575940639017050	1
720575940639080765	0
720575940639121571	0
720575940639202467	0
720575940639337461	1
720575940639669592	1
720575940639680957	1
720575940640032896	0
720575940640398477	1
720575940640697808	0
720575940640804853	1
720575940640971995	1
720575940642046453	0
720575940642086389	0
720575940642492576	1
720575940644004768	0
720575940644238871	0
720575940644258327	1
720575940644961588	0
720575940646122804	0
720575940646661252	1
720575940648206468	1
720575940648650884	1
720575940649045369	1
720575940649133945	0
720575940652941217	0
720575940656090017	0
720575940659400577	0
